full_date,AMD_股價,SP500_大盤指數,美光_股價,NVIDIA_股價,三星_股價(美金),TSMC_ADR股價,費城半導體指數
2021-01-04,92.30000305175781,341.9034118652344,72.20890808105469,13.046195983886719,1.9807710770477662e+20,101.91307830810547,2783.2099609375
2021-01-05,92.7699966430664,344.166015625,75.33909606933594,13.335953712463379,1.9807710770477662e+20,102.88932800292969,2837.169921875
2021-01-06,90.33000183105469,346.2440185546875,75.19283294677734,12.549758911132812,1.9807710770477662e+20,105.48049926757812,2827.9599609375
2021-01-07,95.16000366210938,351.36944580078125,77.14310455322266,13.275513648986816,1.9807710770477662e+20,110.79057312011719,2937.0
2021-01-08,94.58000183105469,353.3734436035156,75.49512481689453,13.208608627319336,1.9807710770477662e+20,108.29061889648438,2936.469970703125
2021-01-11,97.25,351.0646667480469,76.71405029296875,13.551590919494629,1.9807710770477662e+20,111.85804748535156,2969.919921875
2021-01-12,95.36000061035156,351.12005615234375,77.48441314697266,13.415542602539062,1.9807710770477662e+20,112.22299194335938,2988.02001953125
2021-01-13,91.77999877929688,352.0066833496094,77.9232177734375,13.462302207946777,1.9807710770477662e+20,108.7833251953125,2991.949951171875
2021-01-14,90.79000091552734,350.7876281738281,79.2786636352539,13.132500648498535,1.9807710770477662e+20,115.37071990966797,3055.639892578125
2021-01-15,88.20999908447266,348.2572021484375,78.71307373046875,12.793500900268555,1.9807710770477662e+20,114.25760650634766,2992.77001953125
2021-01-19,89.44999694824219,350.98162841796875,83.37422180175781,12.958401679992676,1.9807710770477662e+20,119.79576873779297,3093.320068359375
2021-01-20,88.75,355.8116149902344,81.4239501953125,13.297154426574707,1.9807710770477662e+20,119.19361877441406,3085.0400390625
2021-01-21,91.52999877929688,356.12554931640625,82.89642333984375,13.7963285446167,1.9807710770477662e+20,122.40516662597656,3132.169921875
2021-01-22,92.79000091552734,354.9158020019531,80.23426055908203,13.642122268676758,1.9807710770477662e+20,117.82503509521484,3074.39990234375
2021-01-25,94.12999725341797,356.32867431640625,79.25914764404297,13.583178520202637,1.9807710770477662e+20,119.0841293334961,3079.2099609375
2021-01-26,94.70999908447266,355.8023681640625,77.53316497802734,13.366296768188477,1.9807710770477662e+20,115.55320739746094,3031.77001953125
