full_date,台灣晶圓核心(台積電ADR),電腦周邊晶片(聯電ADR),硬體封測成本(日月光ADR),全球美金通膨基準(SP500),台灣硬體零件通膨指數,美金總體通膨率(%)
2021-01-04,101.91307067871094,5.917815208435059,4.603381156921387,341.9034118652344,53.65255613327027,0.0
2021-01-05,102.88932800292969,6.132068634033203,4.873261451721191,344.166015625,54.25893688201904,0.6617669438927564
2021-01-06,105.48049926757812,6.21333646774292,4.958080768585205,346.2439880371094,55.59586672782898,1.2695328625693545
2021-01-07,110.79055786132812,6.331545352935791,5.066032886505127,351.3695068359375,58.30794911384583,2.768645951516362
2021-01-08,108.2906494140625,6.279829978942871,4.996634483337402,353.3735046386719,57.0286005973816,3.35477575694933
2021-01-11,111.8580551147461,6.686171054840088,5.181694984436035,351.0647888183594,58.97121787071228,2.6795219454364716
2021-01-12,112.22298431396484,6.449753761291504,5.204827308654785,351.1201171875,59.08738374710083,2.695704401422735
2021-01-13,108.7833251953125,6.567963123321533,5.497840404510498,352.0067138671875,57.46161961555481,2.9550164319317966
2021-01-14,115.37071228027344,7.026020050048828,5.752298355102539,350.78759765625,60.94362182617187,2.598449001297899
2021-01-15,114.25762176513672,6.486693859100342,5.482419013977051,348.25726318359375,60.171302843093876,1.8583761079470678
2021-01-19,119.7957763671875,7.380646228790283,5.914226531982422,350.98162841796875,63.29492735862732,2.6551991696159707
2021-01-20,119.19359588623047,7.062961578369141,5.783141613006592,355.8115539550781,62.8723147392273,4.067857063481374
2021-01-21,122.40519714355469,7.388034820556641,5.906515121459961,356.1255187988281,64.60031204223633,4.159685583716718
2021-01-22,117.82503509521484,7.5875115394592285,5.7985639572143555,354.915771484375,62.34848380088806,3.805858370395442
2021-01-25,119.08414459228516,7.53579568862915,5.667479038238525,356.32879638671875,62.93630681037903,4.2191402661902435
2021-01-26,115.55320739746094,7.328929424285889,5.513261795043945,355.80230712890625,61.07793488502502,4.06515254932592
2021-01-27,111.07337951660156,6.819155693054199,5.27422571182251,347.1213073730469,58.63728160858154,1.5261314531336705
2021-01-28,114.80503845214844,6.856095314025879,5.312779426574707,350.05810546875,60.52190370559693,2.3850869340636773
2021-01-29,110.8726806640625,6.686171054840088,5.135430335998535,343.10400390625,58.46927771568298,0.3511494765336983
2021-02-01,115.56233978271484,6.885647773742676,5.335912227630615,348.7190246582031,60.914046669006346,1.9934322257232142
2021-02-02,117.18637084960938,7.003856182098389,5.466997146606445,353.6689758300781,61.78774170875549,3.4411952488737665
2021-02-03,116.32872009277344,6.952139854431152,5.428442478179932,353.94610595703125,61.33569049835205,3.5222503414337547
2021-02-04,116.9217758178711,6.981692790985107,5.598081588745117,357.95416259765625,61.6750120639801,4.694527803878273
2021-02-05,116.58419036865234,7.1072893142700195,6.014467716217041,359.3578186035156,61.62717552185058,5.105069482360453
2021-02-08,120.93623352050781,7.432362079620361,6.315189838409424,362.06378173828125,63.9608633518219,5.896510293086324
2021-02-09,121.05485534667969,7.646616458892822,6.361456871032715,361.759033203125,64.09370398521423,5.807377361217142
2021-02-10,121.97637939453125,7.506242752075195,6.40001106262207,361.61126708984375,64.52006473541259,5.764158689465631
2021-02-11,126.96710205078125,7.83131742477417,6.662179946899414,362.22076416015625,67.16538224220277,5.942424553203997
2021-02-12,125.96349334716797,7.96429967880249,6.693022727966309,364.0308837890625,66.70964112281798,6.471848819265352
2021-02-16,127.77912139892578,7.89780855178833,6.654468059539795,363.7444763183594,67.58979687690734,6.388080286760618
2021-02-17,124.33031463623047,7.617064476013184,6.608203411102295,363.79083251953125,65.77191734313965,6.401638560695055
2021-02-18,122.83403015136719,7.60967493057251,6.453986167907715,362.2484130859375,64.99071478843689,5.950511318302483
2021-02-19,124.68611145019531,7.6687798500061035,6.407721042633057,361.5650939941406,65.9252338886261,5.750653970266946
2021-02-22,121.86688232421875,7.3215413093566895,6.122419357299805,358.8130187988281,64.35438742637635,4.945726291920974
2021-02-23,117.78854370117188,7.2476630210876465,6.0298895835876465,359.191650390625,62.27454867362976,5.056468559665912
2021-02-24,120.70814514160156,7.424975395202637,6.091576099395752,363.1350402832031,63.79988040924072,6.209832274600837
2021-02-25,114.96015930175781,7.181169509887695,5.844829082489014,354.4262390136719,60.80339632034302,3.6626797843636414
2021-02-26,114.90541076660156,7.240273952484131,5.837117671966553,352.5700378417969,60.79221110343933,3.119777576471477
2021-03-01,117.81591796875,7.432362079620361,5.945069789886475,361.1217956542969,62.326681566238406,5.620997955012416
2021-03-02,114.96015930175781,6.959528923034668,5.775430679321289,358.34197998046875,60.723024463653566,4.807956734200081
2021-03-03,112.12263488769531,6.700947284698486,5.8216962814331055,353.5582580566406,59.235940885543826,3.408812485322655
2021-03-04,105.46224975585938,6.205948352813721,5.513261795043945,349.1807556152344,55.69556174278259,2.128479417710069
2021-03-05,110.21574401855469,6.361097812652588,5.667479038238525,355.6175842285156,58.14969716072083,4.011124746741887
2021-03-08,103.94770812988281,5.932591438293457,5.544105529785156,353.8814392089844,54.862452602386476,3.503336593924162
2021-03-09,106.18303680419922,6.228113651275635,5.675190448760986,358.8683776855469,56.0949905872345,4.9619176736965285
2021-03-10,103.8564453125,6.161620616912842,5.528684139251709,361.0663146972656,54.882445669174196,5.604770870079692
2021-03-11,110.01505279541016,6.5162458419799805,5.875671863555908,364.7789001464844,58.13753452301026,6.690628840599774
2021-03-12,107.93480682373047,6.486693859100342,5.783141613006592,365.35150146484375,57.07003989219666,6.858103425084199
2021-03-15,108.64645385742188,6.501471042633057,5.760009288787842,367.5679931640625,57.425670099258426,7.506383501356854
2021-03-16,108.8927993774414,6.434978485107422,5.760009288787842,367.05072021484375,57.5288950920105,7.355091372858692
2021-03-17,108.76277160644531,6.375874042510986,5.806274890899658,368.2513427734375,57.45540299415588,7.706249775181682
2021-03-18,104.86138153076172,6.087740421295166,5.783141613006592,362.87640380859375,55.41364121437073,6.134186210351755
2021-03-19,104.0645980834961,6.08035135269165,5.968202590942383,362.2023620605469,55.050044965744014,5.937042302260965
2021-03-22,107.31578063964844,6.331545352935791,6.00675630569458,365.0652160644531,56.758705186843876,6.774370595736633
2021-03-23,105.2185287475586,6.235500335693359,5.898804664611816,362.22076416015625,55.659675407409665,5.942424553203997
2021-03-24,99.7877197265625,6.013860702514648,5.721455097198486,360.36444091796875,52.84230909347534,5.399486642154664
2021-03-25,101.15229797363281,6.287217140197754,5.698322296142578,362.42254638671875,53.601978588104245,6.001441872002218
2021-03-26,106.74796295166016,6.523634433746338,5.937358856201172,368.2881164550781,56.518543577194215,7.717005351278454
2021-03-29,104.76062774658203,6.361097812652588,5.852539539337158,368.1027526855469,55.459151124954225,7.66279010711929
2021-03-30,105.38336944580078,6.567963123321533,5.9990458488464355,367.19464111328125,55.861882829666136,7.397185395159419
2021-03-31,108.32316589355469,6.730499267578125,5.937358856201172,368.6309509277344,57.368204498291014,7.817277668183961
2021-04-01,114.2943344116211,6.841319561004639,6.145552158355713,372.5782470703125,60.42867350578308,8.971783884148254
2021-04-05,114.01958465576172,6.796990871429443,6.106997489929199,377.925048828125,60.27028908729554,10.535617871251024
2021-04-06,112.13298797607422,6.582738876342773,6.076155185699463,377.693359375,59.25654668807984,10.467853278946713
2021-04-07,109.7976303100586,6.619678020477295,6.045310974121094,378.16595458984375,58.093780755996704,10.606078051921495
2021-04-08,113.03963470458984,6.989081382751465,6.145552158355713,379.9265441894531,59.845652198791505,11.121015761962052
2021-04-09,112.46267700195312,6.944751739501953,6.230371475219727,382.6786193847656,59.560838317871095,11.925943440308027
2021-04-12,110.72261810302734,6.885647773742676,6.106997489929199,382.8361511230469,58.64840288162232,11.972018364632952
