price_id,gpu_id,爬蟲日期,最低價格,最高價格,平均價格
78,2,2023/4/23,324.99,469.9,382.63
79,2,2023/5/1,348.83,440.99,378.12
80,2,2023/5/8,339.99,440.99,376.88
81,2,2023/5/15,339.99,440.99,375.51
82,2,2023/5/23,314.99,459.99,376.43
83,2,2023/6/1,289.99,549.9,367.44
84,2,2023/6/8,279.99,589,372.57
85,2,2023/6/15,279.99,599,371.28
86,2,2023/6/23,279.99,519.99,341.49
87,2,2023/7/1,279.99,539.99,349.83
88,2,2023/7/8,279.99,499.99,342.92
89,2,2023/7/15,279.99,495.97,338.76
90,2,2023/7/23,279.95,556.49,350.9
91,2,2023/8/1,279.95,539,354.13
92,2,2023/8/8,264.99,548.5,344.58
93,2,2023/8/15,259.99,479.99,333.21
94,2,2023/8/23,259.99,459.99,324.93
95,2,2023/9/1,259.99,479.99,329.2
96,2,2023/9/8,259.99,479.99,338.76
97,2,2023/9/15,259.99,559.91,364.76
98,2,2023/9/23,279.95,669.99,381.43
99,2,2023/10/1,249.99,649.99,375.83
100,2,2023/10/8,249.99,669.99,376.35
101,2,2023/10/15,279.95,649.99,371.71
102,2,2023/10/23,279.95,668,375.25
103,2,2023/11/1,279.99,649.99,369.6
104,2,2023/11/8,249.94,561.59,353.49
105,2,2023/11/15,249.99,649.99,382
106,2,2023/11/23,249.99,649.99,392.41
107,2,2023/12/1,289.39,699.93,412.1
108,2,2023/12/8,279.99,699.93,399.13
109,2,2023/12/15,289.39,649.99,392.97
110,2,2023/12/23,289.39,649.99,402.09
111,2,2024/1/1,279.95,649.99,400.76
112,2,2024/1/8,289.39,649.99,411.43
113,2,2024/1/15,279.95,655,407.1
114,2,2024/1/23,289.39,653.84,409.25
115,2,2024/2/1,289.39,649.99,405.71
116,2,2024/2/8,289.39,649.99,400.16
117,2,2024/2/15,289.39,699.93,407.44
118,2,2024/2/23,289.99,699.99,410.75
119,2,2024/3/1,289.99,699.99,411.59
120,2,2024/3/8,289.99,699.99,405.65
121,2,2024/3/15,289.99,690,398.12
122,2,2024/3/23,289.99,669.99,398.04
123,2,2024/4/1,289.99,640.35,399.04
124,2,2024/4/8,289.99,671.75,390.52
125,2,2024/4/15,279.99,700,393.01
126,2,2024/4/23,269.99,680,371.01
127,2,2024/5/1,289.99,479.99,361.61
128,2,2024/5/8,289.99,479.99,354.66
129,2,2024/5/15,288,499.99,357.19
130,2,2024/5/23,288,579,365.58
131,2,2024/6/1,285,549.99,368.01
132,2,2024/6/8,285,549.99,357.43
133,2,2024/6/15,285,549.99,358.63
134,2,2024/6/23,285,499.99,346.15
135,2,2024/7/1,284.34,499.99,350.71
136,2,2024/7/8,274.36,499.99,341.09
137,2,2024/7/15,279.99,499.99,341
138,2,2024/7/23,284.34,499.99,345.6
139,2,2024/8/1,284.34,499.99,345.41
140,2,2024/8/8,279.99,529.99,348.93
141,2,2024/8/15,284.34,565,366.76
142,2,2024/8/23,284.34,574.95,366.29
143,2,2024/9/1,269.98,589,364
144,2,2024/9/8,269.98,589,372.6
145,2,2024/9/15,260,589,368.39
146,2,2024/9/23,269.98,670,367.95
147,2,2024/10/1,259.99,529.99,354.12
148,2,2024/10/8,254.99,529.99,350.84
149,2,2024/10/15,279.99,549.99,364.17
150,2,2024/10/23,284.97,549.99,368.54
151,2,2024/11/1,279.99,549.99,359.99
152,2,2024/11/8,279.99,589,364.67
153,2,2024/11/15,284.97,589,368.54
154,2,2024/11/23,264.99,589,361.88
155,2,2024/12/1,279.97,589,370.98
156,2,2024/12/8,280.34,700,387.24
157,2,2024/12/15,278.99,700,393.11
158,2,2024/12/23,279.99,700,393.33
159,2,2025/1/1,279.99,700,399.14
160,2,2025/1/8,279.99,670,390.09
161,2,2025/1/15,279.97,699.99,380.95
162,2,2025/1/23,274.99,699.99,391.99
163,2,2025/2/1,289.99,699.99,417.88
164,2,2025/2/8,289.99,699.99,401.87
165,2,2025/2/15,299.99,699.99,402.07
166,2,2025/2/23,299.99,768.88,430.55
167,2,2025/3/1,299.99,699.99,436.97
168,2,2025/3/8,299.99,690,425.84
169,2,2025/3/15,299.99,699.99,434.85
170,2,2025/3/23,299.99,699.99,430.36
171,2,2025/4/1,299.99,699.99,427.4
172,2,2025/4/8,299.99,699.99,426.19
173,2,2025/4/15,299.99,699.99,421.91
174,2,2025/4/23,299.99,599.99,393.52
175,2,2025/5/1,299.99,699.99,440.32
176,2,2025/5/8,299.99,699.99,448.98
177,2,2025/5/15,299.99,699.99,441.23
178,2,2025/5/23,299.99,699.99,445.16
179,2,2025/6/1,299.99,787.68,465.65
180,2,2025/6/8,299.99,787.68,462.72
181,2,2025/6/15,299.99,787.68,458.16
182,2,2025/6/23,299.97,699.99,429.43
183,2,2025/7/1,299.99,699.99,426.08
184,2,2025/7/8,249.99,699.99,407.26
185,2,2025/7/15,249.99,699.99,408.44
186,2,2025/7/23,249.99,748.97,412.22
187,2,2025/8/1,249.99,748.97,422.77
188,2,2025/8/8,249.99,699.99,394.33
189,2,2025/8/15,249.99,699.99,395.02
190,2,2025/8/23,249.99,748.97,416.55
191,2,2025/9/1,249.99,748.97,415.54
192,2,2025/9/8,249.99,748.97,416.25
193,2,2025/9/15,269.99,748.97,417.07
194,2,2025/9/23,269.99,748.97,404.15
195,2,2025/10/1,269.99,699.99,390.99
196,2,2025/10/8,249.99,699.99,386.75
197,2,2025/10/15,269.99,748.97,405.99
198,2,2025/10/23,249.99,695,378.42
199,2,2025/11/1,249.99,699.99,381.02
200,2,2025/11/8,249.99,699.99,380.04
201,2,2025/11/15,249.99,699.99,379.64
202,2,2025/11/23,249.99,695,379.73
203,2,2025/12/1,249.99,748.97,386.82
204,2,2025/12/8,259.99,699.99,398.72
205,2,2025/12/15,259.99,647.98,386.66
206,2,2025/12/23,275.99,647.98,383.07
207,2,2026/1/1,249.99,679.99,404.9
208,2,2026/1/8,249.99,679.99,427.82
209,2,2026/1/15,249.99,679.99,411.28
210,2,2026/1/23,249.99,679.99,403.3
211,2,2026/2/1,249.99,679.99,420.5
212,2,2026/2/8,249.99,679.99,416.24
213,2,2026/2/15,249.99,679.99,401.93
214,2,2026/2/23,249.99,679.99,409.91
215,2,2026/3/1,249.99,599.99,398.33
216,2,2026/3/8,249.99,599.99,392.87
217,2,2026/3/15,249.99,599.99,396.29
218,2,2026/3/23,249.99,599.99,391.98
219,2,2026/4/1,249.99,599.99,391.98
220,2,2026/4/8,249.99,549.99,378.98
221,2,2026/4/15,249.99,595.89,392.37
222,2,2026/4/23,249.99,679.99,410.29
223,2,2026/5/1,249.99,529.99,395.03
224,2,2026/5/8,249.99,529.99,402.07
225,2,2026/5/15,249.99,529.99,398.52
226,2,2026/5/23,249.99,679.99,413.11
227,2,2026/6/1,249.99,529.99,383.65
228,2,2026/6/8,249.99,529.99,382.19
229,2,2026/6/15,249.99,529.99,383.89
230,2,2026/6/23,249.99,529.99,383.25
231,2,2026/7/1,249.99,529.99,380.14
232,2,2026/7/8,249.99,529.99,378.21
233,2,2026/7/15,249.99,529.99,382.9
234,2,2026/7/23,249.99,529.99,379.45
235,2,2026/8/1,249.99,529.99,390.27
236,2,2026/8/8,249.99,529.99,430.52
237,2,2026/8/15,459.99,529.99,498.06
238,2,2026/8/23,459.99,519.99,487.17
239,2,2026/9/1,459.99,519.99,486.04
240,2,2026/9/8,459.99,520,492.29
241,16,2024/2/1,799.99,969.99,852.12
242,16,2024/2/8,799.99,949.99,851.13
243,16,2024/2/15,799.99,949.99,847.61
244,16,2024/2/23,799.99,949.99,849.81
245,16,2024/3/1,799.99,949.99,845.22
246,16,2024/3/8,799.99,949.99,851.95
247,16,2024/3/15,799.99,949.99,854.37
248,16,2024/3/23,789.99,961.4,847.75
249,16,2024/4/1,799.99,949.99,853.54
250,16,2024/4/8,799.99,949.99,849.99
251,16,2024/4/15,799.99,949.99,852.23
252,16,2024/4/23,789.99,949.99,852.71
253,16,2024/5/1,779.99,949.99,850.65
254,16,2024/5/8,789.99,949.99,854.66
255,16,2024/5/15,789.99,949.99,850.21
256,16,2024/5/23,749.99,949.99,848.1
257,16,2024/6/1,789.99,949.99,848.64
258,16,2024/6/8,790.99,929.99,838.59
259,16,2024/6/15,789.99,899.99,831.84
260,16,2024/6/23,769,929.99,832.66
261,16,2024/7/1,769,899.99,829.96
262,16,2024/7/8,769.99,949.99,837.74
263,16,2024/7/15,759.99,929.99,830.69
264,16,2024/7/23,769,929.99,837.35
265,16,2024/8/1,769,971.99,845.68
266,16,2024/8/8,779.99,982.99,845.62
267,16,2024/8/15,779.99,1016.61,853.44
268,16,2024/8/23,779.99,982.99,849.71
269,16,2024/9/1,779.99,991.54,852.92
270,16,2024/9/8,779.99,959.99,851.74
271,16,2024/9/15,779.99,977.73,852.07
272,16,2024/9/23,779,977.23,854.13
273,16,2024/10/1,789.99,977.23,855.13
274,16,2024/10/8,749.99,977.23,848.86
275,16,2024/10/15,784.99,949.99,852.35
276,16,2024/10/23,769.99,949.99,851.82
277,16,2024/11/1,769.99,949.99,849.54
278,16,2024/11/8,789.99,999.99,854.2
279,16,2024/11/15,739.99,967.8,842.99
280,16,2024/11/23,719.99,949.99,833.93
281,16,2024/12/1,719.99,983.99,838.04
282,16,2024/12/8,719.99,999.99,846.86
283,16,2024/12/15,799.99,1089.99,868.78
284,16,2024/12/23,799.99,999.99,865.55
285,16,2025/1/1,799.99,1348.9,942.17
286,16,2025/1/8,799.99,1422.9,980.39
287,16,2025/1/15,799.99,1398.99,993.42
288,16,2025/1/23,794.99,1398.88,1013.6
289,16,2025/2/1,799.99,1796.98,1206.11
290,16,2025/2/8,799.99,1778.2,1112.35
291,16,2025/2/15,799.99,1698,1154.59
292,16,2025/2/23,799.99,1698,1201.93
293,16,2025/3/1,799.99,1680.16,1202.4
294,16,2025/3/8,799.99,1698,1198.6
295,16,2025/3/15,799.99,1698,1180.04
296,16,2025/3/23,799.99,1698,1198.78
297,16,2025/4/1,799.99,1698,1211.53
298,16,2025/4/8,799.99,1698,1169.17
299,16,2025/4/15,799.99,1699.99,1140.41
300,16,2025/4/23,799.99,1629.99,1101.02
301,16,2025/5/1,799.99,1629.99,1115.85
302,16,2025/5/8,799.99,1698,1171.91
303,16,2025/5/15,799.99,1695,1146.18
304,16,2025/5/23,799.99,1695,1217.65
305,16,2025/6/1,799.99,1695,1185.23
306,16,2025/6/8,799.99,1699,1170.93
307,16,2025/6/15,799.99,1699,1156.35
308,16,2025/6/23,799.99,1495.44,1136.99
309,16,2025/7/1,799.99,1498,1128.84
