full_date,平台成本指標(AMD),全球物流通膨(原油),CPU成本指標(Intel),美金購買力大盤(S&P500),記憶體成本指標(美光),上游硬體通膨指數,大盤累計通膨率(%)
2021-01-04,92.30000305175781,47.619998931884766,44.90293502807617,341.9034729003906,72.20893096923828,70.0444538116455,0.0
2021-01-05,92.7699966430664,49.93000030517578,45.75271987915039,344.1661071777344,75.3390884399414,71.6924503326416,0.6617757515446299
2021-01-06,90.33000183105469,50.630001068115234,46.1956901550293,346.2440490722656,75.19283294677734,71.03484077453614,1.2695326359377384
2021-01-07,95.16000366210938,50.83000183105469,47.18107986450195,351.3694152832031,77.14310455322266,73.55956687927247,2.76860082833095
2021-01-08,94.58000183105469,52.2400016784668,46.69291305541992,353.37353515625,75.4951171875,72.57992134094238,3.354766232281307
2021-01-11,97.25,52.25,46.59346389770508,351.06475830078125,76.71404266357422,73.83865623474121,2.6794946897364955
2021-01-12,95.36000061035156,53.209999084472656,48.130306243896484,351.1201477050781,77.48440551757812,74.04085426330568,2.6956949944093327
2021-01-13,91.77999877929688,52.90999984741211,51.484249114990234,352.0067138671875,77.92321014404297,74.14855842590332,2.9549980528394135
2021-01-14,90.79000091552734,53.56999969482422,53.56349563598633,350.78759765625,79.27865600585938,75.01751136779785,2.5984306858584194
2021-01-15,88.20999908447266,52.36000061035156,52.05377197265625,348.25726318359375,78.71308898925781,73.56436691284179,1.8583579246222584
2021-01-19,89.44999694824219,52.97999954223633,52.42443084716797,350.9815979003906,83.37419891357422,75.91200790405273,2.6551719182579934
2021-01-20,88.75,53.2400016784668,53.03916549682617,355.8116149902344,81.4239730834961,75.1063388824463,4.067856337304803
2021-01-21,91.52999877929688,53.130001068115234,56.46541976928711,356.12554931640625,82.89640045166016,77.55718574523925,4.159675915359611
2021-01-22,92.79000091552734,52.27000045776367,51.222068786621094,354.915771484375,80.2342758178711,75.29733123779297,3.8058398394143684
2021-01-25,94.12999725341797,52.77000045776367,50.119163513183594,356.3287353515625,79.2591552734375,74.97841033935548,4.219103809856444
2021-01-26,94.70999908447266,52.61000061035156,49.911231994628906,355.8023376464844,77.53317260742188,74.39963836669922,4.065142897844449
2021-01-27,88.83999633789062,52.849998474121094,48.446712493896484,347.12127685546875,73.2230453491211,70.47523078918456,1.5261044033320679
2021-01-28,87.5199966430664,52.34000015258789,50.68869400024414,350.05810546875,76.44099426269531,72.03900489807128,2.3850686567126878
2021-01-29,85.63999938964844,52.20000076293945,50.182437896728516,343.10400390625,76.32396697998047,71.27631797790528,0.3511315622725877
2021-02-01,87.66000366210938,53.54999923706055,51.24918746948242,348.7190246582031,78.43029022216797,73.04487342834473,1.9934140182887603
2021-02-02,88.86000061035156,54.7599983215332,52.433467864990234,353.66900634765625,79.59070587158203,74.22432289123535,3.4411857087785034
2021-02-03,87.88999938964844,55.689998626708984,52.1441764831543,353.9460754394531,77.14310455322266,72.86749458312988,3.522222935293484
2021-02-04,87.83999633789062,56.22999954223633,53.470252990722656,357.9540710449219,79.22989654541016,74.08503341674805,4.6944823368926105
2021-02-05,87.9000015258789,56.849998474121094,52.91544723510742,359.3578186035156,79.08362579345703,73.87808494567871,5.1050507194497285
2021-02-08,91.47000122070312,57.970001220703125,53.8067741394043,362.063720703125,81.92127990722656,76.35154457092284,5.89647353731555
2021-02-09,90.91000366210938,58.36000061035156,53.461158752441406,361.7590026855469,81.2484359741211,75.81072311401367,5.807349547145698
2021-02-10,92.3499984741211,58.68000030517578,53.53392028808594,361.61126708984375,80.30254364013672,75.8861930847168,5.7641398088971
2021-02-11,92.66000366210938,58.2400016784668,55.17103576660156,362.22076416015625,84.32986450195312,78.08125762939453,5.942405640812201
2021-02-12,93.7699966430664,59.470001220703125,56.216976165771484,364.0308532714844,85.82181549072266,79.32481803894044,6.471820886575284
2021-02-16,91.45999908447266,60.04999923706055,56.81725311279297,363.7445373535156,85.55851745605469,78.70658264160156,6.388079146387648
2021-02-17,89.94000244140625,61.13999938964844,56.25334930419922,363.7906799316406,83.9105453491211,77.42222366333007,6.4015749373878315
2021-02-18,88.63999938964844,60.52000045776367,56.03507614135742,362.24835205078125,86.3386459350586,77.9379810333252,5.9504745528916745
2021-02-19,89.58000183105469,59.2400016784668,57.308387756347656,361.5650329589844,88.698486328125,79.5459114074707,5.750617240533823
2021-02-22,85.37000274658203,61.4900016784668,55.21651077270508,358.81304931640625,84.13483428955078,75.82988777160645,4.945716483243217
2021-02-23,84.73999786376953,61.66999816894531,55.589412689208984,359.1916198730469,86.0363540649414,76.51336479187012,5.056440879643518
2021-02-24,86.94000244140625,63.220001220703125,57.472103118896484,363.1350402832031,90.21968078613281,79.41150398254395,6.209813314472549
2021-02-25,82.41999816894531,63.529998779296875,54.93456268310547,354.42633056640625,85.92906951904297,75.57799606323242,3.6626880563052966
2021-02-26,84.51000213623047,61.5,55.28017807006836,352.570068359375,89.25431060791016,77.6387783050537,3.119768093754332
2021-03-01,86.38999938964844,60.63999938964844,57.190155029296875,361.1217041015625,92.40400695800781,80.03564910888672,5.620952322637235
2021-03-02,84.12999725341797,59.75,55.69855499267578,358.34197998046875,88.82524108886719,77.478662109375,4.807938024328663
2021-03-03,80.86000061035156,61.279998779296875,54.47981643676758,353.5581970214844,86.89449310302734,75.35974235534668,3.4087761736451303
